local,visita,goles_local,goles_visita,torneo_id,temporada,importancia,fecha,elo_local,elo_visita
United States Virgin Islands,Sint Maarten,1,2,1,2023,1,,1095.0,1100.0719508170905
Rwanda,Benin,1,1,1,2023,1,,1122.7219223229067,1250.3661386317553
Nepal,Laos,2,1,1,2023,1,,918.3571094120787,885.3149168619536
USA,Mexico,1,1,0,2023,0,,1702.8199054117817,1718.15192993865
Mexico,Guatemala,2,0,0,2023,0,,1717.931427484492,1111.4498217807543
Luxembourg,Malta,0,1,0,2023,0,,1235.3410719968106,989.1228149434587
Mexico,Cameroon,2,2,0,2023,0,,1718.2270672804925,1468.8605603491762
Panama,Nicaragua,3,2,0,2023,0,,1504.628724911651,1120.9453620836612
Chile,Cuba,3,0,0,2023,0,,1464.0436663042342,991.9386347662324
Guatemala,Trinidad and Tobago,0,1,0,2023,0,,1111.1541819847537,1227.4038737013777
Tajikistan,Turkmenistan,1,1,1,2023,1,,1215.8692522655704,1073.8848203989137
Uzbekistan,Oman,3,0,1,2023,1,,1448.2068468387897,1126.98813657611
Mauritius,Pakistan,3,0,1,2023,1,,1100.0,836.7287800879066
Germany,Ukraine,3,3,0,2023,0,,1740.028645408595,1547.7908104403025
Morocco,Cabo Verde,0,0,0,2023,0,,1771.3845287852596,1386.5463671394812
Iran,Afghanistan,6,1,1,2023,1,,1601.4754784065735,968.07
Curaçao,Costa Rica,0,0,0,2023,0,,1099.2762587417076,1452.7877898630309
DR Congo,Uganda,1,0,0,2023,0,,1107.0037628898299,1261.8925657522511
Indonesia,Palestine,0,0,0,2023,0,,1161.4295654971872,1248.8808625796892
Malaysia,Solomon Islands,4,1,0,2023,0,,1103.679039099638,1042.6580324643435
Mozambique,Malawi,1,1,0,2023,0,,1205.505234374141,1117.8778748442885
Togo,Lesotho,2,0,0,2023,0,,1154.034042163296,1059.3580122086883
Uruguay,Nicaragua,4,1,0,2023,0,,1666.032995414179,1119.9556060801312
Netherlands,Croatia,2,4,1,2023,1,,1101.5579280535171,1695.916296361958
Oman,Tajikistan,1,1,1,2023,1,,1125.6283312115545,1213.9325635281366
Uzbekistan,Turkmenistan,2,0,1,2023,1,,1449.5666522033453,1075.8215091363475
Pakistan,Kenya,0,1,1,2023,1,,834.9275450488235,1184.242261751645
