local,visita,goles_local,goles_visita,torneo_id,temporada
Mexico,Guatemala,2,0,0,2023
Luxembourg,Malta,0,1,0,2023
Mexico,Cameroon,2,2,0,2023
Panama,Nicaragua,3,2,0,2023
Chile,Cuba,3,0,0,2023
Guatemala,Trinidad and Tobago,0,1,0,2023
Tajikistan,Turkmenistan,1,1,1,2023
Uzbekistan,Oman,3,0,1,2023
Mauritius,Pakistan,3,0,1,2023
Germany,Ukraine,3,3,0,2023
Morocco,Cape Verde,0,0,0,2023
Iran,Afghanistan,6,1,1,2023
Curaçao,Costa Rica,0,0,0,2023
DR Congo,Uganda,1,0,0,2023
Indonesia,Palestine,0,0,0,2023
Malaysia,Solomon Islands,4,1,0,2023
Mozambique,Malawi,1,1,0,2023
Togo,Lesotho,2,0,0,2023
Uruguay,Nicaragua,4,1,0,2023
Netherlands,Croatia,2,4,1,2023
Oman,Tajikistan,1,1,1,2023
Uzbekistan,Turkmenistan,2,0,1,2023
Pakistan,Kenya,0,1,1,2023
Mauritius,Djibouti,1,3,1,2023
Guinea-Bissau,São Tomé and Príncipe,1,0,1,2023
Guinea,Egypt,1,2,1,2023
South Sudan,Gambia,2,3,1,2023
Panama,Canada,0,2,1,2023
United States,Mexico,3,0,1,2023
Argentina,Australia,2,0,0,2023
Cambodia,Bangladesh,0,1,0,2023
Costa Rica,Guatemala,0,1,0,2023
Honduras,Venezuela,0,1,0,2023
Jamaica,Qatar,1,2,0,2023
Japan,El Salvador,6,0,0,2023
Philippines,Nepal,1,0,0,2023
Vietnam,Hong Kong,1,0,0,2023
Spain,Italy,2,1,1,2023
Antigua and Barbuda,Guadeloupe,0,5,1,2023
Martinique,Saint Lucia,3,1,1,2023
Curaçao,Saint Kitts and Nevis,1,1,1,2023
Chile,Dominican Republic,5,0,0,2023
China,Myanmar,4,0,0,2023
Taiwan,Thailand,2,2,0,2023
Colombia,Iraq,1,0,0,2023
South Korea,Peru,0,1,0,2023
Poland,Germany,1,0,0,2023
Serbia,Jordan,3,2,0,2023
Singapore,Papua New Guinea,2,2,0,2023
Sweden,New Zealand,4,1,0,2023
Gibraltar,France,0,3,1,2023
Greece,Republic of Ireland,2,1,1,2023
Malta,England,0,4,1,2023
North Macedonia,Ukraine,2,3,1,2023
Wales,Armenia,2,4,1,2023
Latvia,Turkey,2,3,1,2023
Finland,Slovenia,2,0,1,2023
Denmark,Northern Ireland,1,0,1,2023
San Marino,Kazakhstan,0,3,1,2023
Andorra,Switzerland,1,2,1,2023
Belarus,Israel,1,2,1,2023
Kosovo,Romania,0,0,1,2023
Kyrgyzstan,Iran,1,5,1,2023
Guyana,Grenada,1,1,1,2023
Suriname,Puerto Rico,0,0,1,2023
French Guiana,Sint Maarten,4,1,1,2023
Brazil,Guinea,4,1,0,2023
Ecuador,Bolivia,1,0,0,2023
Norway,Scotland,1,2,1,2023
Cyprus,Georgia,1,2,1,2023
Faroe Islands,Czech Republic,0,3,1,2023
Albania,Moldova,2,0,1,2023
Azerbaijan,Estonia,1,1,1,2023
Belgium,Austria,1,1,1,2023
Lithuania,Bulgaria,1,1,1,2023
Montenegro,Hungary,0,0,1,2023
Luxembourg,Liechtenstein,2,0,1,2023
Iceland,Slovakia,1,2,1,2023
Portugal,Bosnia and Herzegovina,3,0,1,2023
Ticino,Raetia,1,8,1,2023
Turkmenistan,Oman,0,2,1,2023
Uzbekistan,Tajikistan,5,1,1,2023
Djibouti,Pakistan,3,1,1,2023
Central African Republic,Angola,1,2,1,2023
Zambia,Ivory Coast,3,0,1,2023
Lesotho,Comoros,0,1,1,2023
Equatorial Guinea,Tunisia,1,0,1,2023
Botswana,Libya,1,0,1,2023
South Africa,Morocco,2,1,1,2023
Benin,Senegal,1,1,1,2023
Panama,Mexico,0,1,1,2023
United States,Canada,2,0,1,2023
Egypt,South Sudan,3,0,0,2023
Guatemala,Venezuela,0,1,0,2023
Paraguay,Nicaragua,2,0,0,2023
Singapore,Solomon Islands,1,1,0,2023
Netherlands,Italy,2,3,1,2023
Croatia,Spain,0,0,1,2023
Mauritius,Kenya,1,0,1,2023
Sierra Leone,Nigeria,2,3,1,2023
Cape Verde,Burkina Faso,3,1,1,2023
Eswatini,Togo,0,2,1,2023
Madagascar,Ghana,0,0,1,2023
Tanzania,Niger,1,0,1,2023
Uganda,Algeria,1,2,1,2023
Congo,Mali,0,2,1,2023
Gabon,DR Congo,0,2,1,2023
Rwanda,Mozambique,0,2,1,2023
Hong Kong,Thailand,0,1,0,2023
Indonesia,Argentina,0,2,0,2023
Jamaica,Jordan,1,2,0,2023
Macau,Myanmar,0,2,0,2023
Philippines,Taiwan,2,3,0,2023
Republic of Ireland,Gibraltar,3,0,1,2023
France,Greece,1,0,1,2023
Ukraine,Malta,1,0,1,2023
England,North Macedonia,7,0,1,2023
Armenia,Latvia,2,1,1,2023
Turkey,Wales,2,0,1,2023
Finland,San Marino,6,0,1,2023
Northern Ireland,Kazakhstan,0,1,1,2023
Slovenia,Denmark,1,1,1,2023
Belarus,Kosovo,2,1,1,2023
Switzerland,Romania,2,2,1,2023
Israel,Andorra,2,1,1,2023
Guadeloupe,Guyana,2,0,1,2023
